system:index,area_km2,class,class_color,classe,nome,territory,year,.geo
3_8_3,0.04193430920410156,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_4,0.17040271740722657,9.0,EE2918,Assentamento-A Sem CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_5,0.06244774896240232,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_6,0.0722638519897461,14.0,E5E5E5,Áreas Urbanas Sem CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_7,7.118547547668459,104.0,7F3822,Glebas Públicas Com CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_8,1.768635562866212,105.0,A85529,Glebas Públicas - FPND Com CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_9,4.517060858764645,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_10,1.8179146242065445,109.0,EE2918,Assentamento-A Com CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_11,1.0543478231201158,110.0,5EDC40,Assentamento-B Com CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_12,0.2061146710205078,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_13,0.01338342559814453,114.0,E5E5E5,Áreas Urbanas Com CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_14,0.008025525878906248,199.0,9D9D9C,Outras Sobreposições Com CAR,Uruará,1508159.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_0,0.09016189263916025,2.0,FEEB72,Terra Indígena não Homologada Sem CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_1,15.342467140686054,4.0,7F3822,Glebas Públicas Sem CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_2,0.9158775189819341,5.0,A85529,Glebas Públicas - FPND Sem CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_3,1.6157687197875974,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_4,2.518251303344724,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_5,0.06606255932617185,14.0,E5E5E5,Áreas Urbanas Sem CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_6,2.4733157354736353,15.0,41BBD9,Massas d'água Sem CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_7,0.006249084533691406,102.0,FEEB72,Terra Indígena não Homologada Com CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_8,54.96145406115764,104.0,7F3822,Glebas Públicas Com CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_9,1.944298763305668,105.0,A85529,Glebas Públicas - FPND Com CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_10,43.39222858190959,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_11,12.06460089080823,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_12,0.21871805780029274,114.0,E5E5E5,Áreas Urbanas Com CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_13,1.5834696685791052,115.0,41BBD9,Massas d'água Com CAR,Vitória do Xingu,1508357.0,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,7.719726883605954,1.0,DBA303,Terra Indígena Homologada Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,0.057064254516601555,2.0,FEEB72,Terra Indígena não Homologada Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,2.483569656127908,3.0,F14A74,Área Militar Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,1.6202973536376948,4.0,7F3822,Glebas Públicas Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4,2.3060165604858476,5.0,A85529,Glebas Públicas - FPND Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_5,0.04098708648681641,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_6,0.037478935180664044,9.0,EE2918,Assentamento-A Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_7,1.025118512817382,11.0,008148,UCUS Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_8,1.540269259948729,12.0,21B8A1,UCPI Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_9,0.7211168539428713,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_10,0.0726700474243164,14.0,E5E5E5,Áreas Urbanas Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_11,0.141636466003418,15.0,41BBD9,Massas d'água Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_12,0.007994857727050782,20.0,03405D,Imóvel Rural Privado e UCUS Sem CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_13,0.17562733905029287,102.0,FEEB72,Terra Indígena não Homologada Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_14,0.24382145550537107,103.0,F14A74,Área Militar Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_15,23.825225055176066,104.0,7F3822,Glebas Públicas Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_16,1.17608295336914,105.0,A85529,Glebas Públicas - FPND Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_17,9.900177115539542,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_18,1.1955627908935553,109.0,EE2918,Assentamento-A Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_19,0.9037368568725541,110.0,5EDC40,Assentamento-B Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_20,5.588876287292474,111.0,008148,UCUS Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_21,2.7144079048461878,112.0,21B8A1,UCPI Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_22,7.010894788513137,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_23,0.01963864251708984,114.0,E5E5E5,Áreas Urbanas Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_24,0.10883015435791019,115.0,41BBD9,Massas d'água Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_25,0.03918385101318357,118.0,B0D904,Terra Indígena não Homologada e UCUS Com CAR,Altamira,1500602.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_0,0.5060860067749015,1.0,DBA303,Terra Indígena Homologada Sem CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_1,0.3436646396484375,4.0,7F3822,Glebas Públicas Sem CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_2,0.08389217956542967,5.0,A85529,Glebas Públicas - FPND Sem CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_3,0.0017853536376953125,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_4,0.033920443359375,9.0,EE2918,Assentamento-A Sem CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_5,0.09185885668945312,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_6,0.03837229376220705,14.0,E5E5E5,Áreas Urbanas Sem CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_7,3.6283419167480466,104.0,7F3822,Glebas Públicas Com CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_8,0.031243121154785163,105.0,A85529,Glebas Públicas - FPND Com CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_9,1.4081395906372063,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_10,1.1484729727172867,109.0,EE2918,Assentamento-A Com CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_11,0.05975880944824219,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_12,0.038375554992675774,114.0,E5E5E5,Áreas Urbanas Com CAR,Anapu,1500859.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_0,0.07584096875000004,1.0,DBA303,Terra Indígena Homologada Sem CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_1,0.059787425598144525,4.0,7F3822,Glebas Públicas Sem CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_2,0.02141080541992188,5.0,A85529,Glebas Públicas - FPND Sem CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_3,0.014281461547851565,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_4,8.922192993164063E-4,101.0,DBA303,Terra Indígena Homologada Com CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_5,2.0168008140869143,104.0,7F3822,Glebas Públicas Com CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_6,0.019632124450683595,105.0,A85529,Glebas Públicas - FPND Com CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_7,0.9940915499267591,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_8,0.24194216912841787,109.0,EE2918,Assentamento-A Com CAR,Brasil Novo,1501725.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_0,0.11153603491210937,1.0,DBA303,Terra Indígena Homologada Sem CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_1,0.17490356353759784,4.0,7F3822,Glebas Públicas Sem CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_2,0.03658551837158204,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_3,0.013384321655273436,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_4,1.211829495666504,104.0,7F3822,Glebas Públicas Com CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_5,0.020527398620605465,105.0,A85529,Glebas Públicas - FPND Com CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_6,0.8202619578247061,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_7,0.0946033320922852,109.0,EE2918,Assentamento-A Com CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_8,0.004461436462402344,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Medicilândia,1504455.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_0,1.233797268432618,4.0,7F3822,Glebas Públicas Sem CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_1,0.025868080871582037,5.0,A85529,Glebas Públicas - FPND Sem CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_2,0.26142427929687506,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_3,0.2069651620483399,9.0,EE2918,Assentamento-A Sem CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_4,0.527165054870605,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_5,0.038357453796386706,14.0,E5E5E5,Áreas Urbanas Sem CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_6,13.15180119317623,104.0,7F3822,Glebas Públicas Com CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_7,0.33453322912597666,105.0,A85529,Glebas Públicas - FPND Com CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_8,8.17560217547608,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_9,17.733475982238694,109.0,EE2918,Assentamento-A Com CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_10,3.5064303732910154,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_11,0.021416312866210936,114.0,E5E5E5,Áreas Urbanas Com CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_12,1.7486448635864267,199.0,9D9D9C,Outras Sobreposições Com CAR,Pacajá,1505486.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_0,0.18990572283935547,1.0,DBA303,Terra Indígena Homologada Sem CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_1,0.6502473056030277,4.0,7F3822,Glebas Públicas Sem CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_2,0.08652111871337889,5.0,A85529,Glebas Públicas - FPND Sem CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_3,0.0044605214843750005,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_4,0.5378819189453129,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_5,0.0044596962280273435,14.0,E5E5E5,Áreas Urbanas Sem CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_6,0.008025454284667968,101.0,DBA303,Terra Indígena Homologada Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_7,4.033193480163581,104.0,7F3822,Glebas Públicas Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_8,0.6288407434082032,105.0,A85529,Glebas Públicas - FPND Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_9,3.002516976379395,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_10,0.09006211291503904,109.0,EE2918,Assentamento-A Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_11,0.10171461712646485,110.0,5EDC40,Assentamento-B Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_12,2.949880874084471,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_13,0.011595215026855466,114.0,E5E5E5,Áreas Urbanas Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_14,0.029426529052734376,199.0,9D9D9C,Outras Sobreposições Com CAR,Placas,1505650.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_0,0.11073211645507809,4.0,7F3822,Glebas Públicas Sem CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_1,0.141996469116211,5.0,A85529,Glebas Públicas - FPND Sem CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_2,0.3483729135742185,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_3,0.1419963176879881,99.0,9D9D9C,Outras Sobreposições Sem CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_4,0.6474770441894541,104.0,7F3822,Glebas Públicas Com CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_5,0.29025612866210937,105.0,A85529,Glebas Públicas - FPND Com CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_6,0.26432175842285155,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_7,0.008041345825195311,109.0,EE2918,Assentamento-A Com CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_8,0.008039382568359375,110.0,5EDC40,Assentamento-B Com CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_9,0.614626171081543,111.0,008148,UCUS Com CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_10,1.3336283157958966,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_11,0.008037656677246093,115.0,41BBD9,Massas d'água Com CAR,Porto de Moz,1505908.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_0,1.4668768274536146,1.0,DBA303,Terra Indígena Homologada Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_1,1.0876384967651376,4.0,7F3822,Glebas Públicas Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_2,0.28308373034667944,5.0,A85529,Glebas Públicas - FPND Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_3,0.010712439208984376,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_4,0.20982592260742186,9.0,EE2918,Assentamento-A Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_5,7.681081765441822,11.0,008148,UCUS Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_6,0.04107783294677737,12.0,21B8A1,UCPI Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_7,0.0500128532104492,14.0,E5E5E5,Áreas Urbanas Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_8,0.009821586669921873,15.0,41BBD9,Massas d'água Sem CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_9,0.008027696044921874,102.0,FEEB72,Terra Indígena não Homologada Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_10,3.1207713334960885,104.0,7F3822,Glebas Públicas Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_11,0.8983256130371098,105.0,A85529,Glebas Públicas - FPND Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_12,0.7820369536132782,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_13,1.9697268551025404,109.0,EE2918,Assentamento-A Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_14,0.06696624645996102,110.0,5EDC40,Assentamento-B Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_15,0.9322290379028344,111.0,008148,UCUS Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_16,0.16148176397705072,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_17,0.012503181030273437,114.0,E5E5E5,Áreas Urbanas Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_18,0.12408737225341797,115.0,41BBD9,Massas d'água Com CAR,Senador José Porfírio,1507805.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_0,0.34158389080810536,1.0,DBA303,Terra Indígena Homologada Sem CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_1,1.0990984942626951,4.0,7F3822,Glebas Públicas Sem CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_2,0.12223491314697257,5.0,A85529,Glebas Públicas - FPND Sem CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_3,0.06333665643310545,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_4,0.01783994549560547,9.0,EE2918,Assentamento-A Sem CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_5,0.15700371484374992,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_6,0.01962673565673828,14.0,E5E5E5,Áreas Urbanas Sem CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_7,8.92296875E-4,99.0,9D9D9C,Outras Sobreposições Sem CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_8,6.2339843692627115,104.0,7F3822,Glebas Públicas Com CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_9,0.4808499397583004,105.0,A85529,Glebas Públicas - FPND Com CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_10,3.0262010401000983,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_11,0.38015887548828103,109.0,EE2918,Assentamento-A Com CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_12,0.39168826855468725,110.0,5EDC40,Assentamento-B Com CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_13,0.1436559896240233,113.0,494949,Áreas Sem Registro Fundiário Georreferenciado Com CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_14,0.0044611829833984375,114.0,E5E5E5,Áreas Urbanas Com CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_15,0.022293939392089842,199.0,9D9D9C,Outras Sobreposições Com CAR,Uruará,1508159.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_0,3.35495625909423,4.0,7F3822,Glebas Públicas Sem CAR,Vitória do Xingu,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_1,0.10712114471435549,5.0,A85529,Glebas Públicas - FPND Sem CAR,Vitória do Xingu,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_2,0.20799154412841825,8.0,6A3D9A,Imóvel Rural Privado Sem CAR,Vitória do Xingu,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_3,0.29280238098144484,13.0,494949,Áreas Sem Registro Fundiário Georreferenciado Sem CAR,Vitória do Xingu,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_4,0.34452911291503907,15.0,41BBD9,Massas d'água Sem CAR,Vitória do Xingu,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_5,10.217896368774417,104.0,7F3822,Glebas Públicas Com CAR,Vitória do Xingu,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_6,0.18568371704101566,105.0,A85529,Glebas Públicas - FPND Com CAR,Vitória do Xingu,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_7,7.180498408569345,108.0,6A3D9A,Imóvel Rural Privado Com CAR,Vitória do Xingu,1508357.0,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
